iter	Passed	Remaining
917	5465	488
918	5471	482
919	5476	476
920	5482	470
921	5488	464
922	5494	458
923	5500	452
924	5506	446
925	5511	440
926	5517	434
927	5522	428
928	5528	422
929	5533	416
930	5539	410
931	5545	404
932	5551	398
933	5557	392
934	5562	386
935	5568	380
936	5574	374
937	5580	368
938	5585	362
939	5591	356
940	5597	350
941	5602	344
942	5608	339
943	5614	333
944	5619	327
945	5625	321
946	5631	315
947	5636	309
948	5642	303
949	5648	297
950	5653	291
951	5659	285
952	5664	279
953	5669	273
954	5675	267
955	5681	261
956	5687	255
957	5692	249
958	5698	243
959	5703	237
960	5709	231
961	5715	225
962	5720	219
963	5726	213
964	5731	207
965	5737	201
966	5743	195
967	5748	190
968	5754	184
969	5760	178
970	5765	172
971	5770	166
972	5776	160
973	5781	154
974	5787	148
975	5792	142
976	5798	136
977	5804	130
978	5810	124
979	5815	118
980	5821	112
981	5826	106
982	5832	100
983	5837	94
984	5843	88
985	5848	83
986	5854	77
987	5859	71
988	5865	65
989	5870	59
990	5876	53
991	5881	47
992	5887	41
993	5893	35
994	5899	29
995	5904	23
996	5910	17
997	5916	11
998	5921	5
999	5927	0
